Code Tarif ,province,city, district 
DPS21108,Bali,Badung,Petang
DPS20200,Bali,Bangli,Bangli
DPS20201,Bali,Bangli,Kintamani
DPS20202,Bali,Bangli,Susut
DPS20203,Bali,Bangli,Tembuku
DPS20602,Bali,Buleleng,Busungbiu
DPS20608,Bali,Buleleng,Tejakula
DPS20101,Bali,Karangasem,Abang
DPS20103,Bali,Karangasem,Kubu
DPS20503,Bali,Klungkung,Nusa Penida
CLG20202,Banten,Lebak,Bayah
CLG20203,Banten,Lebak,Bojongmanik
CLG20205,Banten,Lebak,Cibeber
CLG20229,Banten,Lebak,Cigemlong
CLG20227,Banten,Lebak,Cihara
CLG20206,Banten,Lebak,Cijaku
CLG20208,Banten,Lebak,Cileles
CLG20225,Banten,Lebak,Cilograng
CLG20210,Banten,Lebak,Cipanas
CLG20228,Banten,Lebak,Cirinten
CLG20221,Banten,Lebak,Curug Bitung
CLG20226,Banten,Lebak,Lebakgedong
CLG20212,Banten,Lebak,Leuwidamar
CLG20213,Banten,Lebak,Maja
CLG20214,Banten,Lebak,Malingping
CLG20215,Banten,Lebak,Muncang
CLG20216,Banten,Lebak,Panggarangan
CLG20217,Banten,Lebak,Sajira
CLG20223,Banten,Lebak,Sobang
CLG20218,Banten,Lebak,Wanasalam
CLG20122,Banten,Pandeglang,Angsana
CLG20123,Banten,Pandeglang,Carita
CLG20106,Banten,Pandeglang,Cibaliung
CLG20124,Banten,Pandeglang,Cibitung
CLG20125,Banten,Pandeglang,Cigeulis
CLG20126,Banten,Pandeglang,Cikedal
CLG20109,Banten,Pandeglang,Cimanggu
CLG20129,Banten,Pandeglang,Cisata
CLG20112,Banten,Pandeglang,Jiput
CLG20139,Banten,Pandeglang,Koroncong
CLG20113,Banten,Pandeglang,Labuan
CLG20143,Banten,Pandeglang,Mekarjaya
CLG20118,Banten,Pandeglang,Pagelaran
CLG20133,Banten,Pandeglang,Panimbang
CLG20134,Banten,Pandeglang,Patia
CLG20148,Banten,Pandeglang,Sobang
CLG20136,Banten,Pandeglang,Sukaresmi
CLG20121,Banten,Pandeglang,Sumur
CLG20510,Banten,Kab. Serang,Jawilan
CLG20512,Banten,Kab. Serang,Kopo
BDO10116,Jawa Barat,Kab. Bandung,Kertasari
BDO21009,Jawa Barat,Bandung Barat,Gununghalu
BDO21014,Jawa Barat,Bandung Barat,Rongga
CBN20417,Jawa Barat,Kab. Cirebon,Karangsembung
CBN20418,Jawa Barat,Kab. Cirebon,Karangwareng
CBN20427,Jawa Barat,Kab. Cirebon,Susukan Lebak
BDO20707,Jawa Barat,Garut,Cibalong
BDO20735,Jawa Barat,Garut,Karangtengah
BDO20740,Jawa Barat,Garut,Mekarmukti
BDO20722,Jawa Barat,Garut,Pamulihan
BDO20728,Jawa Barat,Garut,Talegong
KRW10002,Jawa Barat,Karawang,Cibuaya
KRW10021,Jawa Barat,Karawang,Cilebar
KRW10008,Jawa Barat,Karawang,Pakisjaya
CBN20209,Jawa Barat,Kuningan,Cilebak
CBN20211,Jawa Barat,Kuningan,Ciniru
CBN20238,Jawa Barat,Kuningan,Ciwaru
CBN20215,Jawa Barat,Kuningan,Hantara
CBN20220,Jawa Barat,Kuningan,Karang Kancana
BDO20806,Jawa Barat,Purwakarta,Cibatu
BDO20821,Jawa Barat,Purwakarta,Kiarapedes
BDO20810,Jawa Barat,Purwakarta,Maniis
