Ori kode,Kode tarif,province,city,district
DPS,DPS10010,Bali,Denpasar,Denpasar Selatan
DPS,DPS10012,Bali,Denpasar,Denpasar Utara
DPS,DPS10011,Bali,Denpasar,Denpasar Timur
DPS,DPS10009,Bali,Denpasar,Denpasar Barat
TGX,TGR10133,Banten,Tangerang,Mekar Baru
TGX,TGR10132,Banten,Tangerang,Sepatan Timur
TGX,TGR10131,Banten,Tangerang,Gunung Kaler
TGX,TGR10130,Banten,Tangerang,Sindang Jaya
TGX,TGR10129,Banten,Tangerang,Solear
TGX,TGR10128,Banten,Tangerang,Kelapa Dua
TGX,TGR10127,Banten,Tangerang,Sukamulya
TGX,TGR10125,Banten,Tangerang,Sukadiri
TGX,TGR10124,Banten,Tangerang,Panongan
TGX,TGR10123,Banten,Tangerang,Pagedangan
TGX,TGR10122,Banten,Tangerang,Kosambi
TGX,TGR10121,Banten,Tangerang,Kemiri
TGX,TGR10120,Banten,Tangerang,Jayanti
TGX,TGR10119,Banten,Tangerang,Jambe
TGX,TGR10118,Banten,Tangerang,Cisauk
TGX,TGR10114,Banten,Tangerang,Teluknaga
TGX,TGR10112,Banten,Tangerang,Sepatan
TGX,TGR10111,Banten,Tangerang,Rajeg
TGX,TGR10110,Banten,Tangerang,Pakuhaji
TGX,TGR10109,Banten,Tangerang,PASAR KEMIS
TGX,TGR10108,Banten,Tangerang,Mauk
TGX,TGR10107,Banten,Tangerang,Legok
TGX,TGR10106,Banten,Tangerang,Kresek
TGX,TGR10105,Banten,Tangerang,Kronjo
TGX,TGR10104,Banten,Tangerang,Curug
TGX,TGR10103,Banten,Tangerang,Cisoka
TGX,TGR10102,Banten,Tangerang,Cikupa
TGX,TGR10101,Banten,Tangerang,Balaraja
TGX,TGR10100,Banten,Tangerang,Tigaraksa
TGR,TGR10055,Banten,Tangerang,Periuk
TGR,TGR10056,Banten,Tangerang,Pinang
TGR,TGR10054,Banten,Tangerang,Neglasari
TGR,TGR10053,Banten,Tangerang,Larangan
TGR,TGR10052,Banten,Tangerang,Karawaci
TGR,TGR10051,Banten,Tangerang,Karang Tengah
TGR,TGR10050,Banten,Tangerang,Jatiuwung
TGR,TGR10049,Banten,Tangerang,Cipondoh
TGR,TGR10048,Banten,Tangerang,Cibodas
TGR,TGR10047,Banten,Tangerang,Benda
TGR,TGR10046,Banten,Tangerang,Batuceper
TGR,TGR10036,Banten,Tangerang,Ciledug
TGR,TGR10070,Banten,Tangerang,Tangerang
TGS,TGR10117,Banten,Tangerang Selatan,Ciputat
TGS,TGR10116,Banten,Tangerang Selatan,Pamulang
TGS,TGR10115,Banten,Tangerang Selatan,Pondok Aren
TGS,TGR10113,Banten,Tangerang Selatan,Serpong
TGS,TGR10062,Banten,Tangerang Selatan,Setu
TGS,TGR10061,Banten,Tangerang Selatan,Ciputat Timur
TGS,TGR10060,Banten,Tangerang Selatan,Serpong Utara
CGK,CGK10108,DKI Jakarta,Jakarta Barat,Cengkareng
CGK,CGK10107,DKI Jakarta,Jakarta Barat,Tambora
CGK,CGK10106,DKI Jakarta,Jakarta Barat,Taman Sari
CGK,CGK10105,DKI Jakarta,Jakarta Barat,Pal Merah
CGK,CGK10104,DKI Jakarta,Jakarta Barat,Kembangan
CGK,CGK10103,DKI Jakarta,Jakarta Barat,Kebon Jeruk
CGK,CGK10102,DKI Jakarta,Jakarta Barat,Kalideres
CGK,CGK10101,DKI Jakarta,Jakarta Barat,Grogol Petamburan
CGK,CGK10308,DKI Jakarta,Jakarta Pusat,Tanah Abang
CGK,CGK10307,DKI Jakarta,Jakarta Pusat,Senen
CGK,CGK10306,DKI Jakarta,Jakarta Pusat,Sawah Besar
CGK,CGK10305,DKI Jakarta,Jakarta Pusat,Menteng
CGK,CGK10304,DKI Jakarta,Jakarta Pusat,Kemayoran
CGK,CGK10303,DKI Jakarta,Jakarta Pusat,Johar Baru
CGK,CGK10302,DKI Jakarta,Jakarta Pusat,Gambir
CGK,CGK10301,DKI Jakarta,Jakarta Pusat,Cempaka Putih
CGK,CGK10211,DKI Jakarta,Jakarta Selatan,Cilandak
CGK,CGK10209,DKI Jakarta,Jakarta Selatan,Tebet
CGK,CGK10208,DKI Jakarta,Jakarta Selatan,Setiabudi
CGK,CGK10207,DKI Jakarta,Jakarta Selatan,Pesanggrahan
CGK,CGK10206,DKI Jakarta,Jakarta Selatan,Pasar Minggu
CGK,CGK10205,DKI Jakarta,Jakarta Selatan,Pancoran
CGK,CGK10204,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
CGK,CGK10203,DKI Jakarta,Jakarta Selatan,Kebayoran Lama
CGK,CGK10202,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
CGK,CGK10201,DKI Jakarta,Jakarta Selatan,Jagakarsa
CGK,CGK10510,DKI Jakarta,Jakarta Timur,Pulogadung
CGK,CGK10509,DKI Jakarta,Jakarta Timur,Pasar Rebo
CGK,CGK10508,DKI Jakarta,Jakarta Timur,Matraman
CGK,CGK10507,DKI Jakarta,Jakarta Timur,Makasar
CGK,CGK10506,DKI Jakarta,Jakarta Timur,Kramatjati
CGK,CGK10505,DKI Jakarta,Jakarta Timur,Jatinegara
CGK,CGK10504,DKI Jakarta,Jakarta Timur,Duren Sawit
CGK,CGK10503,DKI Jakarta,Jakarta Timur,Ciracas
CGK,CGK10502,DKI Jakarta,Jakarta Timur,Cipayung
CGK,CGK10501,DKI Jakarta,Jakarta Timur,Cakung
CGK,CGK10406,DKI Jakarta,Jakarta Utara,Cilincing
CGK,CGK10405,DKI Jakarta,Jakarta Utara,Tanjung Priok
CGK,CGK10404,DKI Jakarta,Jakarta Utara,Penjaringan
CGK,CGK10403,DKI Jakarta,Jakarta Utara,Pademangan
CGK,CGK10402,DKI Jakarta,Jakarta Utara,Koja
CGK,CGK10401,DKI Jakarta,Jakarta Utara,Kelapa Gading
BKX,BKI10124,Jawa Barat,Bekasi,Bojongmangu
BKX,BKI10123,Jawa Barat,Bekasi,Babelan
BKX,BKI10122,Jawa Barat,Bekasi,Tarumajaya
BKX,BKI10121,Jawa Barat,Bekasi,Tambun Utara
BKX,BKI10120,Jawa Barat,Bekasi,Tambun Selatan
BKX,BKI10119,Jawa Barat,Bekasi,Sukawangi
BKX,BKI10118,Jawa Barat,Bekasi,Sukakarya
BKX,BKI10117,Jawa Barat,Bekasi,Karang Bahagia
BKX,BKI10116,Jawa Barat,Bekasi,Tambelang
BKX,BKI10115,Jawa Barat,Bekasi,Sukatani
BKX,BKI10114,Jawa Barat,Bekasi,Setu
BKX,BKI10113,Jawa Barat,Bekasi,Serang Baru
BKX,BKI10112,Jawa Barat,Bekasi,Pebayuran
BKX,BKI10111,Jawa Barat,Bekasi,Muaragembong
BKX,BKI10110,Jawa Barat,Bekasi,Kedung Waringin
BKX,BKI10108,Jawa Barat,Bekasi,Cibitung
BKX,BKI10107,Jawa Barat,Bekasi,Cibarusah
BKX,BKI10106,Jawa Barat,Bekasi,Cabangbungin
BKX,BKI10105,Jawa Barat,Bekasi,Cikarang Utara
